"STATISTIC","Statistic Label","TLIST(A1)","Year","C02062V02489","Type of Meat","UNIT","VALUE"
"ABA06C02","Meat Imports","2016","2016","01","Beef and veal","000 Tonnes","37"
"ABA06C02","Meat Imports","2016","2016","02","Pig meat","000 Tonnes","106"
"ABA06C02","Meat Imports","2016","2016","03","Sheep meat","000 Tonnes","5"
"ABA06C02","Meat Imports","2016","2016","04","Poultry meat","000 Tonnes","141"
"ABA06C02","Meat Imports","2017","2017","-","Total Meat","000 Tonnes","292.431"
"ABA06C02","Meat Imports","2017","2017","01","Beef and veal","000 Tonnes","33.9158"
"ABA06C02","Meat Imports","2017","2017","02","Pig meat","000 Tonnes","115.333"
"ABA06C02","Meat Imports","2017","2017","03","Sheep meat","000 Tonnes","5.9066"
"ABA06C02","Meat Imports","2017","2017","04","Poultry meat","000 Tonnes","137.2756"
"ABA06C02","Meat Imports","2018","2018","-","Total Meat","000 Tonnes","315.3119"
"ABA06C02","Meat Imports","2018","2018","01","Beef and veal","000 Tonnes","40.7784"
"ABA06C02","Meat Imports","2018","2018","02","Pig meat","000 Tonnes","123.6744"
"ABA06C02","Meat Imports","2018","2018","03","Sheep meat","000 Tonnes","5.9402"
"ABA06C02","Meat Imports","2018","2018","04","Poultry meat","000 Tonnes","144.9189"
"ABA06C02","Meat Imports","2019","2019","-","Total Meat","000 Tonnes","295.7074"
"ABA06C02","Meat Imports","2019","2019","01","Beef and veal","000 Tonnes","36.2412"
"ABA06C02","Meat Imports","2019","2019","02","Pig meat","000 Tonnes","108.6364"
"ABA06C02","Meat Imports","2019","2019","03","Sheep meat","000 Tonnes","7.2164"
"ABA06C02","Meat Imports","2019","2019","04","Poultry meat","000 Tonnes","143.6134"
"ABA06C02","Meat Imports","2020","2020","-","Total Meat","000 Tonnes","264.0116"
"ABA06C02","Meat Imports","2020","2020","01","Beef and veal","000 Tonnes","34.645"
"ABA06C02","Meat Imports","2020","2020","02","Pig meat","000 Tonnes","94.2138"
"ABA06C02","Meat Imports","2020","2020","03","Sheep meat","000 Tonnes","6.9657"
"ABA06C02","Meat Imports","2020","2020","04","Poultry meat","000 Tonnes","128.1871"
"ABA06C02","Meat Imports","2021","2021","-","Total Meat","000 Tonnes","254.0875"
"ABA06C02","Meat Imports","2021","2021","01","Beef and veal","000 Tonnes","41.9973"
"ABA06C02","Meat Imports","2021","2021","02","Pig meat","000 Tonnes","85.8658"
"ABA06C02","Meat Imports","2021","2021","03","Sheep meat","000 Tonnes","6.5709"
"ABA06C02","Meat Imports","2021","2021","04","Poultry meat","000 Tonnes","119.6535"
"ABA06C03","Supplies = Uses of Meat Products","2012","2012","-","Total Meat","000 Tonnes","1170"
"ABA06C03","Supplies = Uses of Meat Products","2012","2012","01","Beef and veal","000 Tonnes","547"
"ABA06C03","Supplies = Uses of Meat Products","2012","2012","02","Pig meat","000 Tonnes","329"
"ABA06C03","Supplies = Uses of Meat Products","2012","2012","03","Sheep meat","000 Tonnes","58"
"ABA06C03","Supplies = Uses of Meat Products","2012","2012","04","Poultry meat","000 Tonnes","236"
"ABA06C03","Supplies = Uses of Meat Products","2013","2013","-","Total Meat","000 Tonnes","1194"
"ABA06C03","Supplies = Uses of Meat Products","2013","2013","01","Beef and veal","000 Tonnes","552"
"ABA06C03","Supplies = Uses of Meat Products","2013","2013","02","Pig meat","000 Tonnes","345"
"ABA06C03","Supplies = Uses of Meat Products","2013","2013","03","Sheep meat","000 Tonnes","63"
"ABA06C03","Supplies = Uses of Meat Products","2013","2013","04","Poultry meat","000 Tonnes","234"
"ABA06C03","Supplies = Uses of Meat Products","2014","2014","-","Total Meat","000 Tonnes","1280"
"ABA06C03","Supplies = Uses of Meat Products","2014","2014","01","Beef and veal","000 Tonnes","612"
"ABA06C03","Supplies = Uses of Meat Products","2014","2014","02","Pig meat","000 Tonnes","360"
"ABA06C03","Supplies = Uses of Meat Products","2014","2014","03","Sheep meat","000 Tonnes","63"
"ABA06C03","Supplies = Uses of Meat Products","2014","2014","04","Poultry meat","000 Tonnes","245"
